case,subcase_id,subcase,method,GP_method,RMISE,coverage,CI_width,rmw2,rmw2_emp,n_expected,n_read,fit_fail,pred_fail,CI_fail,OOM,Timeout,unknown_missing,mean_time_total,mean_time_fit,max_time_fit,oracle_RMISE,rel_RMISE,rel_rmw2_emp_bound
2re,5,"d=500, n_i=10",HGAM-GS,Empirical,1.1575475198503016,0.95753,0.8882288468016805,0.35898631288580374,0.19135642645411963,2,2,0,0,0,0,0,0,13.522516666666668,12.316116666666666,12.512316666666667,0.16221838754105475,7.135735580883799,1.8760086584908906
2re,5,"d=500, n_i=10",Local-GAM,Empirical,1.8420497008042513,0.66325,0.47764495116984274,0.5293861520711783,0.19135642645411963,2,2,0,0,0,0,0,0,0.20811666666666667,0.11596666666666666,0.1169,0.16221838754105475,11.355369318648044,2.766492674852005
2re,5,"d=500, n_i=10",Oracle-GP,Individual,0.16221838754105475,0.94182,0.18460352890211817,NA,0.19135642645411963,2,2,0,0,0,0,0,0,0.10469166666666667,2.499999999998614e-5,3.3333333333314856e-5,0.16221838754105475,1,NA
2re,5,"d=500, n_i=10",PACE-AIC-GCV,FPC,0.9356801526251528,0.96931,1.370319642978901,0.3778403404269472,0.19135642645411963,2,2,0,0,0,0,0,0,12.730975,10.457925,12.79215,0.16221838754105475,5.768027699007598,1.97453698017056
2re,5,"d=500, n_i=10",PACE-AIC-default,FPC,1.0162175189200562,0.94521,1.4718806616399318,0.34287172002000293,0.19135642645411963,2,2,0,0,0,0,0,0,5.227008333333334,2.905841666666667,3.9409833333333335,0.16221838754105475,6.264502651790128,1.7917962117787103
2re,5,"d=500, n_i=10",PACE-BIC-GCV,FPC,0.9356801526251528,0.96931,1.370319642978901,0.3778403404269472,0.19135642645411963,2,2,0,0,0,0,0,0,12.249566666666666,9.922116666666668,11.918683333333336,0.16221838754105475,5.768027699007598,1.97453698017056
2re,5,"d=500, n_i=10",PACE-BIC-default,FPC,1.0162175189200562,0.94521,1.4718806616399318,0.34287172002000293,0.19135642645411963,2,2,0,0,0,0,0,0,5.151125,2.770925,3.6714333333333333,0.16221838754105475,6.264502651790128,1.7917962117787103
2re,5,"d=500, n_i=10",PACE-FVE95-GCV,FPC,1.4052487950780146,0.6835600000000001,0.9872955690154837,0.46323189900925615,0.19135642645411963,2,2,0,0,0,0,0,0,14.674508333333334,12.799833333333334,12.813366666666667,0.16221838754105475,8.662697345098254,2.420780464983874
2re,5,"d=500, n_i=10",PACE-FVE95-default,FPC,1.8429425019817296,0.52553,0.826074005696296,0.5915501348613083,0.19135642645411963,2,2,0,0,0,0,0,0,5.818225,3.957533333333333,3.985516666666667,0.16221838754105475,11.360873017649197,3.091352330427955
2re,5,"d=500, n_i=10",PACE-FVE99-GCV,FPC,0.9576028748579959,0.98276,1.6354347504703117,0.5247147692756858,0.19135642645411963,2,2,0,0,0,0,0,0,14.063875,11.442991666666668,12.652000000000003,0.16221838754105475,5.903170962142887,2.7420807286108757
