case,subcase_id,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label
sitar,16,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.549800833333334,0.9608224999999997,7.014383333333338,1.8461666666666587,300,10,"d=300, n_i=10"
sitar,16,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5892891666666663,0.14915983333333285,1.049416666666667,0.3035000000000006,300,10,"d=300, n_i=10"
sitar,16,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.337155833333334,9.067028,15.50655,14.148850000000008,300,10,"d=300, n_i=10"
sitar,16,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4137921666666668,0.1104083333333332,0.6237166666666667,0.13958333333333334,300,10,"d=300, n_i=10"
sitar,16,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,21.057115833333334,12.6830325,30.3068,20.355616666666666,300,10,"d=300, n_i=10"
sitar,16,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4063946666666673,2.53478,3.8903000000000003,2.8925166666666664,300,10,"d=300, n_i=10"
sitar,16,SITAR,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0.37676583333333397,0.13870116666666674,4.297466666666666,4.073116666666662,300,10,"d=300, n_i=10"
sitar,17,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9841123333333335,0.20327966666666658,4.616716666666662,0.3863333333333306,400,2,"d=400, n_i=2"
sitar,17,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44735150000000024,0.10759200000000005,0.5091499999999997,0.12851666666667066,400,2,"d=400, n_i=2"
sitar,17,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.673236666666668,17.388132000000002,41.708133333333336,39.43789999999999,400,2,"d=400, n_i=2"
sitar,17,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,26.9219555,15.747548833333333,28.97563333333331,17.078150000000004,400,2,"d=400, n_i=2"
sitar,17,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1937361666666662,0.04872833333333296,1.4592666666666674,0.05409999999999968,400,2,"d=400, n_i=2"
sitar,17,SITAR,100,100,0,0,0,0,0,77,0,0,0,23,0,0,0,0,0.77,0,0,0,0.23,0.9213650000000001,0.7118941666666666,2.555100000000001,2.3704833333333304,400,2,"d=400, n_i=2"
sitar,18,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8206103333333337,0.3110571666666665,4.8289666666666715,0.6238333333333382,400,3,"d=400, n_i=3"
sitar,18,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4170468333333332,0.10301533333333378,0.45386666666666664,0.10818333333333309,400,3,"d=400, n_i=3"
sitar,18,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.400871166666667,13.2512475,33.46033333333333,31.553733333333337,400,3,"d=400, n_i=3"
sitar,18,Local-GAM,100,100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.8001611666666661,0.46455833333333285,0.917216666666665,0.5450000000000007,400,3,"d=400, n_i=3"
